,Id,URL,Price,Specs,Availability
0,1890799,https://housinganywhere.com/room/1890799/de/Berlin/klara-franke-stra-e,€1050/Month (Bills included),Private room•11 m²•3 housemates,From 4 Mar 2023
1,1683516,https://housinganywhere.com/room/1683516/de/Berlin/hohenzollerndamm,€980/Month (Some bills included),Studio•32 m²•Space for 2 people,From 5 Jun 2023
2,1693393,https://housinganywhere.com/room/1693393/de/Berlin/chausseestra-e,€1750/Month (Bills included),Apartment•1 bedroom•50 m²,From 3 Mar 2023
3,1870129,https://housinganywhere.com/room/1870129/de/Berlin/k-penicker-stra-e,€1750/Month (Bills included),Apartment•1 bedroom•27 m²,From 26 Apr 2023
4,1805326,https://housinganywhere.com/room/1805326/de/Berlin/torstra-e,€2400/Month (Bills included),Apartment•3 Bedrooms •90 m²,From 1 May 2023
5,1878572,https://housinganywhere.com/room/1878572/de/Berlin/morusstra-e,€3000/Month (Bills included),Apartment•2 Bedrooms •72 m²,From 1 Jan 2023
6,1877229,https://housinganywhere.com/room/1877229/de/Berlin/klara-franke-stra-e,€1065/Month (Bills included),Private room•10 m²•4 housemates,From 4 Jan 2023
7,1414716,https://housinganywhere.com/room/1414716/de/Berlin/wiclefstra-e,€1450/Month (Bills included),Studio•45 m²•Space for 2 people,From 3 Feb 2023
8,1891209,https://housinganywhere.com/room/1891209/de/Berlin/klara-franke-stra-e,€1065/Month (Bills included),Private room•10 m²•4 housemates,From 4 Feb 2023
9,1890282,https://housinganywhere.com/room/1890282/de/Berlin/klara-franke-stra-e,€1065/Month (Bills included),Private room•10 m²•4 housemates,From 4 Feb 2023
10,1889493,https://housinganywhere.com/room/1889493/de/Berlin/innstra-e,€1065/Month (Bills included),Private room•18 m²•1 housemate,From 4 Feb 2023
11,1895605,https://housinganywhere.com/room/1895605/de/Berlin/innstra-e,€1065/Month (Bills included),Private room•17 m²•1 housemate,From 19 Feb 2023
12,1855461,https://housinganywhere.com/room/1855461/de/Berlin/reinickendorfer-stra-e,€1600/Month (Bills included),Apartment•2 Bedrooms •44 m²,From 1 Mar 2023
13,1737006,https://housinganywhere.com/room/1737006/de/Berlin/thaerstra-e,€1850/Month (Bills excluded),Studio•45 m²•Space for 2 people,From 16 May 2023
14,1832265,https://housinganywhere.com/room/1832265/de/Berlin/thaerstra-e,€1560/Month (Bills included),Studio•42 m²•Space for 2 people,From 1 Jun 2023
